time,ts_no_tip,ts_tip,ts_tip_ci_low,ts_tip_ci_high
2030,2318.2579543955717,2069.699993029213,2066.3409439305938,2073.2724084568677
2040,2239.730886988352,1918.468459229038,1915.7611411847129,1920.992494969503
2050,2205.4319786572805,1831.4695130595358,1829.5736684858311,1833.2832146480355
2060,2148.473114375239,1816.0184650809551,1813.7376072716575,1818.057813218581
2070,2150.673058924221,1785.3193898766615,1783.3342975873525,1787.318747800539
2080,2113.6528615010434,1793.9953422460278,1791.6704199972721,1796.3175683091363
2090,2125.526968751148,1866.4700443481454,1864.2778255203384,1869.2808657813887
